att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,target
0.68835,0.61723,0.61723,0.56981,0.68835,0.64093,0.71205,0.78317,0.4987,0.47499,0.54611,0.33275,0.33275,0.26163,0.23793,0.26163,0.21422,0.21422,0.26163,0.23793,0.095692,0.1194,0.1194,-0.022839,0.16681,0.28534,0.16681,0.04828,0.16681,0.16681,0.1431,-0.80514,-2.1801,-3.0098,-3.0098,-2.8439,-2.9624,-2.5831,-2.0379,-2.0853,-1.8482,-1.4689,-1.2319,-1.137,-0.6629,-0.37843,-0.33102,-0.14137,0.28534,0.45128,0.4987,0.40387,0.33275,0.47499,0.28534,0.42758,0.4987,0.61723,0.54611,0.4987,0.54611,0.61723,0.66464,0.66464,0.71205,0.80688,0.78317,0.85429,0.80688,0.9017,0.85429,0.73576,0.71205,0.64093,0.56981,0.45128,0.40387,0.35646,0.21422,0.1431,0.16681,0.1431,2
-0.11165,-0.036505,-0.074079,-0.061555,0.038643,0.051168,0.13884,0.23904,0.21399,0.23904,0.063693,0.10127,0.063693,0.001069,-0.036505,-0.074079,-0.16175,-0.12418,-0.1868,-0.1868,-0.32457,-0.24943,-0.22438,-0.27448,-0.31205,-0.287,-0.21185,-0.32457,-0.04903,0.36429,-0.04903,-0.85061,-1.8526,-2.5164,-2.7419,-2.792,-2.3786,-2.0655,-1.9778,-1.8651,-1.6647,-1.5771,-1.2765,-1.0385,-0.67527,-0.37467,-0.14923,0.076218,0.38934,0.57721,0.66488,0.67741,0.72751,0.76508,0.79013,0.86528,0.91538,0.96548,1.0406,1.0657,1.1408,1.216,1.2535,1.2911,1.3663,1.3537,1.3663,1.3287,1.3036,1.1784,1.0531,0.96548,0.80265,0.68993,0.55216,0.45196,0.36429,0.25156,0.13884,0.063693,0.001069,-0.011456,1
-0.49172,-0.45549,-0.45549,-0.43738,-0.40115,-0.3287,-0.25624,-0.22001,-0.12945,-0.11133,-0.23813,-0.25624,-0.27435,-0.31058,-0.27435,-0.34681,-0.29247,-0.31058,-0.31058,-0.3287,-0.36492,-0.34681,-0.36492,-0.34681,-0.31058,-0.31058,-0.3287,-0.36492,-0.31058,-0.14756,-0.29247,-1.0351,-2.2125,-2.6835,-2.6472,-2.611,-2.3393,-1.814,-1.651,-1.488,-1.2525,-1.017,-0.79965,-0.4736,-0.22001,-0.038878,0.087917,0.28717,0.52264,0.68567,0.74001,0.77623,0.84869,0.8668,0.95737,0.97548,0.9936,1.0842,1.1385,1.211,1.2834,1.3378,1.374,1.4283,1.4464,1.4827,1.4102,1.3196,1.2653,1.1385,0.9936,0.92114,0.83057,0.74001,0.63133,0.55887,0.50453,0.4683,0.45019,0.39585,0.41396,0.43208,2
-0.3477,-0.24788,-0.28531,-0.2354,-0.18549,-0.11063,-0.073193,0.089018,0.12645,0.089018,0.014152,-0.035759,-0.098148,-0.11063,-0.21045,-0.24788,-0.31027,-0.28531,-0.32275,-0.39761,-0.44753,-0.41009,-0.41009,-0.38514,-0.39761,-0.42257,-0.43505,-0.3477,-0.098148,-0.1231,-0.85929,-1.7203,-2.1819,-2.3441,-2.4939,-2.3317,-1.9199,-1.7702,-1.7702,-1.6703,-1.6204,-1.3834,-1.1088,-0.77195,-0.44753,-0.29779,-0.048237,0.25123,0.52574,0.68795,0.72538,0.76282,0.82521,0.87512,0.92503,0.96246,1.0623,1.0997,1.1621,1.2619,1.2869,1.3617,1.3742,1.4241,1.499,1.4865,1.4117,1.3742,1.2619,1.1496,1.1122,0.96246,0.81273,0.68795,0.58813,0.47583,0.42592,0.35105,0.31362,0.3261,0.28866,0.30114,1
0.015379,0.0406,0.002768,-0.009842,0.002768,-0.009842,0.11626,0.078431,0.21715,0.25498,0.24237,0.26759,0.29281,0.20454,0.14148,0.091042,0.0406,-0.085505,-0.035063,-0.060284,-0.060284,-0.12334,-0.26205,-0.22422,-0.22422,-0.21161,-0.199,-0.28727,-0.23683,-0.17378,-0.3251,0.05321,0.39369,-0.047674,-1.0061,-2.0023,-2.5445,-2.7841,-2.822,-2.4184,-2.1158,-1.9771,-1.8384,-1.7501,-1.6366,-1.2961,-1.0313,-0.71603,-0.33771,-0.199,0.078431,0.2802,0.48197,0.57024,0.59546,0.62068,0.65851,0.68373,0.72157,0.77201,0.82245,0.87289,0.93594,0.98639,1.062,1.1377,1.1629,1.226,1.2764,1.3269,1.3016,1.3143,1.2764,1.1882,1.0747,0.98639,0.84767,0.69634,0.58285,0.46936,0.33064,0.25498,1
-0.34443,-0.32979,-0.32979,-0.32979,-0.37371,-0.35907,-0.35907,-0.21266,-0.15409,-0.11017,0.050887,0.065528,0.050887,0.036246,-0.051601,-0.12481,-0.15409,-0.24194,-0.25658,-0.28586,-0.3005,-0.40299,-0.41763,-0.46156,-0.44692,-0.43227,-0.46156,-0.46156,-0.41763,-0.44692,-0.43227,-0.022319,0.16802,-0.59333,-1.4132,-2.1453,-2.4088,-2.6577,-2.4235,-1.8964,-1.7207,-1.6475,-1.5304,-1.4279,-1.1497,-0.87151,-0.57869,-0.35907,-0.27122,0.021605,0.27051,0.46084,0.65118,0.66582,0.72438,0.76831,0.78295,0.8708,0.92936,0.98793,1.149,1.1343,1.2661,1.3393,1.3686,1.4711,1.515,1.5589,1.5589,1.5736,1.5004,1.3686,1.2661,1.1197,1.0026,0.88544,0.78295,0.68046,0.56333,0.49012,0.37299,0.34371,1
0.22125,0.24137,0.30171,0.34194,0.42239,0.48273,0.50285,0.36205,0.32182,0.28159,0.22125,0.22125,0.18102,0.12068,0.12068,0.12068,0.10057,0.040228,0.020114,0.020114,-0.020114,-0.040228,-0.040228,-0.060342,-0.020114,-0.080455,-0.12068,0.040228,-0.080455,-1.0057,-2.293,-3.0372,-3.0372,-3.0372,-2.7556,-2.1522,-1.9108,-1.6896,-1.4281,-1.2269,-0.94535,-0.66376,-0.36205,-0.1408,-0.060342,0.10057,0.38216,0.60342,0.68387,0.70398,0.74421,0.76433,0.80455,0.80455,0.84478,0.90512,0.92524,0.98558,1.0861,1.1264,1.1867,1.2471,1.2471,1.2471,1.1867,1.1063,0.98558,0.90512,0.70398,0.56319,0.46262,0.36205,0.20114,0.10057,0,-0.040228,-0.16091,-0.20114,-0.22125,-0.24137,-0.28159,-0.30171,2
-0.56844,-0.53012,-0.51097,-0.47265,-0.39602,-0.30022,-0.24275,-0.24275,-0.20443,-0.28107,-0.28107,-0.31938,-0.37686,-0.33854,-0.3577,-0.31938,-0.22359,-0.28107,-0.26191,-0.3577,-0.28107,-0.30022,-0.24275,-0.30022,-0.22359,-0.24275,-0.33854,-0.20443,-0.20443,-0.089483,-0.20443,-0.56844,-1.5072,-2.3885,-2.6567,-2.5417,-2.3502,-2.0819,-1.7946,-1.7946,-1.4689,-1.239,-1.0857,-0.76002,-0.60676,-0.26191,-0.051167,0.025467,0.40863,0.5619,0.81096,0.86843,0.84927,0.83012,0.86843,0.88759,0.92591,0.92591,1.0025,0.98338,1.0217,1.0983,1.1366,1.1366,1.2133,1.2516,1.3091,1.3474,1.3091,1.3474,1.3282,1.2133,1.2324,1.175,0.96422,0.92591,0.7918,0.73432,0.65769,0.52358,0.52358,0.46611,2
0.059847,0.084142,0.16917,0.24206,0.2785,0.42426,0.35138,0.32709,0.33923,0.21776,0.13273,0.20561,0.16917,0.13273,0.059847,0.0477,-0.000889,-0.061625,-0.12236,-0.11021,-0.13451,-0.1831,-0.1831,-0.098066,-0.23169,-0.23169,-0.23169,0.071994,0.18132,-0.75402,-1.9201,-2.5397,-2.7097,-2.8676,-2.7947,-2.321,-2.0659,-1.8959,-1.7501,-1.6286,-1.4221,-1.0941,-0.76616,-0.40175,-0.24383,0.023406,0.20561,0.39997,0.54574,0.58218,0.58218,0.63077,0.7158,0.6915,0.6915,0.75224,0.81297,0.86156,0.9223,0.94659,1.0195,1.0559,1.1045,1.1652,1.226,1.1895,1.2017,1.1895,1.1531,1.0438,0.93445,0.83727,0.72794,0.63077,0.52144,0.38782,0.2785,0.19347,0.096289,0.023406,-0.025183,-0.049478,1
0.94789,-0.021175,-0.021175,-0.021175,-0.021175,-0.033165,-0.021175,0.002803,0.074739,0.13469,0.17065,0.30254,0.19463,0.15866,0.14668,0.086728,-0.009186,0.014793,-0.033165,-0.081122,-0.1051,-0.12908,-0.16505,-0.22499,-0.28494,-0.27295,-0.28494,-0.27295,-0.28494,-0.29693,-0.30892,-0.34489,-0.15306,0.038771,-0.3329,-1.364,-2.1673,-2.407,-2.455,-2.467,-2.2512,-1.9874,-1.8915,-1.8316,-1.7237,-1.6277,-1.34,-1.1002,-0.78849,-0.50075,-0.29693,0.002803,0.31453,0.57829,0.63824,0.6742,0.72216,0.77012,0.81808,0.85404,0.87802,0.92598,0.99792,1.0459,1.1298,1.1897,1.2497,1.3096,1.3696,1.3576,1.4056,1.3696,1.3576,1.2617,1.1418,1.0219,0.87802,0.72216,0.61426,0.47039,0.35049,0.2306,1
-0.059018,-0.059018,-0.070513,-0.024532,0.032943,0.10191,0.1249,0.25135,0.26285,0.19388,0.15939,0.1249,0.032943,0.044439,-0.047523,-0.059018,-0.093503,-0.12799,-0.17397,-0.20846,-0.25444,-0.25444,-0.24294,-0.25444,-0.27743,-0.28892,-0.28892,-0.27743,-0.27743,0.032943,0.021448,-0.8177,-1.7373,-2.3351,-2.5305,-2.5994,-2.519,-2.1856,-1.9902,-1.9097,-1.7718,-1.6683,-1.4384,-1.1396,-0.84069,-0.53032,-0.32341,-0.093503,0.19388,0.44677,0.63069,0.73415,0.76863,0.74564,0.79162,0.83761,0.89508,0.91807,0.96405,1.0215,1.1135,1.1825,1.2055,1.2514,1.3089,1.3089,1.3434,1.3434,1.3204,1.2399,1.171,1.0675,0.91807,0.81461,0.66518,0.58471,0.48125,0.35481,0.27434,0.25135,0.1479,0.090419,1
0.10939,0.090422,0.090422,0.14731,0.2042,0.26109,0.31798,0.35591,0.2042,0.18524,0.18524,0.090422,0.071459,0.052496,-0.004394,0.014569,0.014569,-0.004394,-0.04232,-0.09921,-0.11817,-0.11817,-0.13714,-0.11817,-0.1561,-0.1561,-0.21299,-0.11817,0.014569,-0.45951,-1.4456,-2.6403,-3.1144,-3.1144,-3.0195,-2.6024,-1.9386,-1.7869,-1.5214,-1.1801,-1.0094,-0.70603,-0.44055,-0.23195,-0.023357,0.090422,0.29902,0.54554,0.73517,0.7731,0.7731,0.79206,0.84895,0.86791,0.88688,0.9248,1.0007,1.0386,1.0765,1.1334,1.1713,1.2093,1.2472,1.2472,1.2282,1.1713,1.0575,0.94377,0.86791,0.73517,0.58347,0.46969,0.33694,0.24213,0.14731,0.052496,0.014569,-0.080247,-0.11817,-0.04232,-0.061283,-0.09921,2
0.12417,0.11144,0.14962,0.13689,0.12417,0.13689,0.1878,0.21326,0.25144,0.35326,0.42962,0.34053,0.35326,0.3278,0.1878,0.20053,0.098713,0.060532,0.035077,-0.028558,-0.015831,-0.092194,-0.18128,-0.18128,-0.19401,-0.20674,-0.21947,-0.21947,-0.24492,-0.27037,-0.2831,-0.054013,0.28962,-0.20674,-1.3395,-2.2813,-2.5994,-2.6631,-2.6504,-2.3067,-2.0522,-1.9631,-1.8358,-1.7467,-1.6449,-1.3395,-1.034,-0.71582,-0.47401,-0.25765,-0.003104,0.27689,0.54416,0.65871,0.70962,0.73507,0.77325,0.82416,0.86234,0.87507,0.95143,1.066,1.0914,1.1423,1.206,1.2442,1.2696,1.2823,1.3078,1.3078,1.2696,1.1678,1.066,0.92598,0.78598,0.64598,0.53144,0.36598,0.23871,0.14962,-0.015831,-0.06674,1
0.21032,0.21032,0.19821,0.19821,0.24666,0.25877,0.36777,0.39199,0.45255,0.46466,0.34355,0.28299,0.16188,0.077099,0.12554,0.11343,0.10132,0.10132,0.064987,0.004431,-0.080348,-0.10457,-0.11668,-0.11668,-0.1409,-0.15302,-0.1409,-0.16513,-0.17724,-0.21357,-0.00768,0.24666,-0.24991,-1.2915,-2.115,-2.4905,-2.6722,-2.7448,-2.442,-2.115,-2.006,-1.9576,-1.8486,-1.7638,-1.461,-1.1583,-0.79491,-0.54058,-0.38313,-0.10457,0.25877,0.53733,0.62211,0.64633,0.64633,0.68266,0.68266,0.719,0.74322,0.79166,0.85222,0.87644,0.937,0.99756,1.0218,1.0823,1.1308,1.155,1.2034,1.2034,1.2156,1.2034,1.1308,1.0581,0.937,0.79166,0.64633,0.47677,0.39199,0.21032,0.08921,-0.00768,1
-0.04372,0.003764,0.039377,0.1106,0.18183,0.30054,0.24118,0.20557,0.16996,0.074989,0.063118,0.015635,-0.031849,-0.067461,-0.079332,-0.091203,-0.15056,-0.22178,-0.24552,-0.2574,-0.2574,-0.24552,-0.23365,-0.24552,-0.28114,-0.2574,-0.2574,0.039377,0.098731,-0.70849,-1.7769,-2.3585,-2.5366,-2.5841,-2.4298,-2.0974,-1.9905,-1.9193,-1.8125,-1.765,-1.5869,-1.2545,-0.87468,-0.57791,-0.3761,-0.15056,0.18183,0.46673,0.57357,0.66853,0.69227,0.69227,0.73976,0.7635,0.81098,0.8466,0.88221,0.95343,1.0009,1.0484,1.1078,1.1671,1.2383,1.2739,1.2858,1.3333,1.357,1.3333,1.2739,1.1909,1.0603,0.95343,0.81098,0.69227,0.57357,0.44299,0.33615,0.21744,0.14621,0.08686,0.027506,-0.008107,1
0.023235,0.00399,0.023235,0.061726,0.11946,0.1772,0.23494,0.27343,0.15795,0.11946,0.10022,0.00399,-0.015256,-0.015256,-0.053747,0.00399,-0.053747,-0.053747,-0.092237,-0.13073,-0.14997,-0.13073,-0.14997,-0.14997,-0.14997,-0.14997,-0.18846,-0.13073,-0.015256,-0.47715,-1.6511,-2.8636,-2.9791,-2.9213,-2.7866,-2.3824,-1.959,-1.8243,-1.5741,-1.2855,-1.0738,-0.70809,-0.41941,-0.18846,0.00399,0.15795,0.33116,0.6006,0.75456,0.8123,0.83155,0.85079,0.88928,0.92777,0.92777,0.98551,1.0432,1.101,1.1395,1.178,1.2549,1.2934,1.2742,1.2934,1.2742,1.2165,1.0817,0.98551,0.83155,0.69683,0.58135,0.48513,0.35041,0.25418,0.15795,0.080972,0.042481,-0.015256,-0.072992,-0.053747,-0.053747,-0.072992,2
0.13847,0.18783,0.15081,0.2372,0.28656,0.39764,0.47169,0.39764,0.34827,0.33593,0.24954,0.31125,0.20017,0.10144,0.064417,0.064417,0.002709,-0.034316,-0.096023,-0.10836,-0.15773,-0.14539,-0.14539,-0.15773,-0.17007,-0.096023,-0.24412,-0.10836,0.33593,0.13847,-0.76247,-1.7375,-2.4903,-2.8112,-2.9346,-2.7371,-2.3052,-2.1324,-1.9102,-1.7375,-1.6017,-1.3425,-1.1451,-0.73778,-0.51564,-0.21944,-0.021974,0.22486,0.54574,0.5334,0.5951,0.70618,0.71852,0.70618,0.81725,0.73086,0.86662,0.85428,0.96535,0.97769,1.0517,1.1628,1.1011,1.1875,1.2369,1.2369,1.1752,1.2122,1.0641,0.99003,0.90364,0.78023,0.61979,0.47169,0.42232,0.32359,0.20017,0.015051,0.039734,0.002709,-0.13305,-0.12071,1
0.37854,0.37854,0.40218,0.42582,0.44946,0.54403,0.56767,0.66223,0.56767,0.40218,0.44946,0.37854,0.30762,0.28398,0.21306,0.30762,0.28398,0.18941,0.18941,0.11849,0.094851,0.04757,0.04757,0.04757,0.023929,-0.046993,-0.023352,-0.070634,-0.070634,0.04757,-0.070634,-0.85078,-2.1037,-2.9785,-3.0257,-2.8366,-2.5766,-2.3874,-2.2219,-1.9855,-1.7018,-1.4654,-1.2527,-0.89806,-0.63801,-0.37796,-0.23612,-0.023352,0.26034,0.4731,0.66223,0.70951,0.63859,0.68587,0.66223,0.73315,0.70951,0.70951,0.78043,0.85136,0.875,0.89864,0.92228,1.0168,1.0168,1.0405,1.0641,1.0405,1.0168,0.94592,0.82772,0.73315,0.59131,0.42582,0.3549,0.21306,0.094851,-0.046993,-0.11792,-0.1652,-0.2834,-0.30704,2
-0.13885,-0.11908,-0.059783,-0.020249,0.039052,0.019285,-0.000482,-0.11908,-0.099317,-0.13885,-0.23769,-0.19815,-0.21792,-0.19815,-0.17839,-0.19815,-0.21792,-0.27722,-0.29699,-0.25745,-0.25745,-0.25745,-0.29699,-0.23769,-0.23769,-0.27722,-0.19815,-0.13885,-0.39582,-1.147,-2.2539,-2.7481,-2.7876,-2.5307,-2.333,-2.0365,-1.9179,-1.7202,-1.4435,-1.2458,-0.96907,-0.65279,-0.43536,-0.21792,-0.040016,0.21695,0.45416,0.71113,0.7902,0.7902,0.7902,0.82973,0.86927,0.82973,0.8495,0.9681,0.98787,1.0472,1.1065,1.146,1.2053,1.2844,1.3634,1.403,1.4227,1.3634,1.3239,1.2448,1.1658,1.0274,0.88903,0.80996,0.6716,0.53323,0.39486,0.33556,0.27626,0.11812,0.19719,0.11812,0.078586,0.078586,2
0.12505,0.11151,0.11151,0.016685,0.07087,0.097962,0.12505,0.084416,0.17924,0.28761,0.36889,0.27406,0.24697,0.23342,0.19279,0.043777,-0.11878,0.016685,0.084416,-0.13232,-0.29488,-0.28133,-0.28133,-0.44389,-0.3897,-0.40325,-0.40325,-0.36261,-0.45743,-0.48453,-0.36261,0.043777,-0.18651,-1.1754,-1.934,-2.2726,-2.4081,-2.5029,-2.3268,-2.0017,-1.934,-1.8391,-1.7308,-1.6901,-1.3921,-1.1483,-0.85027,-0.52516,-0.41679,-0.010407,0.27406,0.45016,0.53144,0.57208,0.61272,0.70754,0.73463,0.78882,0.8701,0.93783,1.0056,1.1546,1.1952,1.1952,1.2629,1.4119,1.4119,1.439,1.3713,1.4661,1.3713,1.2223,1.1546,1.0327,0.88364,0.76173,0.57208,0.53144,0.43662,0.35534,0.19279,0.1386,1
0.17877,0.15846,0.15846,0.21937,0.25998,0.28028,0.32089,0.23968,0.19907,0.17877,0.097554,0.056948,0.097554,0.016342,0.036645,-0.003962,-0.003962,-0.003962,-0.064871,-0.10548,-0.064871,-0.064871,-0.10548,-0.085174,-0.10548,-0.14608,-0.14608,-0.024265,0.016342,-0.53185,-1.6282,-2.7043,-3.1104,-2.9479,-2.8261,-2.6637,-2.0749,-1.8516,-1.547,-1.3034,-1.1003,-0.77548,-0.53185,-0.30851,-0.12578,-0.003962,0.23968,0.44271,0.64574,0.68635,0.68635,0.74726,0.74726,0.78786,0.76756,0.80817,0.90968,0.92999,0.92999,1.0315,1.0924,1.1127,1.1736,1.1939,1.2345,1.2345,1.1736,1.1127,1.0112,0.88938,0.78786,0.68635,0.54423,0.4021,0.28028,0.19907,0.13816,0.056948,-0.003962,-0.024265,-0.044568,-0.16639,2
1.8705,0.085998,0.10925,0.1325,0.10925,0.1325,0.1325,0.20227,0.17901,0.24877,0.27203,0.34179,0.31853,0.17901,0.15576,0.085998,0.085998,0.062744,-0.030269,0.062744,0.039491,-0.007016,0.016238,-0.030269,-0.076776,-0.030269,-0.14654,-0.053523,-0.030269,-0.14654,-0.12328,-0.12328,-0.076776,0.062744,-0.28606,-1.1232,-2.2626,-2.9137,-2.9602,-2.7044,-2.5649,-2.2859,-2.1231,-1.8673,-1.4952,-1.286,-1.1232,-0.82089,-0.5651,-0.33256,-0.2163,0.039491,0.36504,0.52781,0.59757,0.62083,0.59757,0.62083,0.62083,0.64408,0.69059,0.73709,0.7836,0.85336,0.89987,0.94638,1.0161,1.1091,1.1557,1.1557,1.1557,1.1324,1.1324,1.0394,0.94638,0.83011,0.71384,0.62083,0.50456,0.38829,0.29528,0.17901,2
0.24911,0.21049,0.2298,0.2298,0.19119,0.21049,0.24911,0.26841,0.32633,0.34564,0.40356,0.44218,0.30703,0.30703,0.30703,0.21049,0.15257,0.15257,0.11396,0.13326,0.094651,0.11396,0.03673,-0.040497,-0.059804,-0.059804,-0.079111,-0.13703,-0.17565,-0.21426,-0.19495,-0.13703,-0.11773,-0.6004,-1.6237,-2.7628,-3.1489,-3.1103,-2.9752,-2.6083,-2.0677,-1.894,-1.6044,-1.2954,-1.1603,-0.77416,-0.46525,-0.23357,-0.098418,0.075344,0.28772,0.5001,0.57732,0.59663,0.63525,0.65455,0.65455,0.67386,0.73178,0.77039,0.80901,0.88624,0.94416,1.0021,1.0021,1.0986,1.1565,1.1372,1.1179,1.1372,1.0793,1.0021,0.86693,0.77039,0.67386,0.53871,0.40356,0.30703,0.21049,0.094651,0.017423,-0.059804,2